Keypointdetector,Avg Num Keypoint Detections,Descriptor Algorithm,Avg Num Descriptor Matches,Avg Keypointsize,FocusOnVehicle
SIFT,138.7,BRISK,59.4,5.03067,true
SIFT,138.7,BRIEF,70.4,5.03067,true
SIFT,138.7,FREAK,59.5,5.03067,true
SIFT,138.7,SIFT,80.2,5.03067,true
SHITOMASI,117.9,BRISK,76.7,4,true
SHITOMASI,117.9,BRIEF,94.4,4,true
SHITOMASI,117.9,ORB,90.8,4,true
SHITOMASI,117.9,FREAK,76.8,4,true
SHITOMASI,117.9,SIFT,92.7,4,true
HARRIS,111,BRISK,18.7,6,true
HARRIS,111,BRIEF,21.1,6,true
HARRIS,111,ORB,19.2,6,true
HARRIS,111,FREAK,19.1,6,true
HARRIS,111,SIFT,16.1,6,true
FAST,95.2,BRISK,62.2,7,true
FAST,95.2,BRIEF,73.2,7,true
FAST,95.2,ORB,73.2,7,true
FAST,95.2,FREAK,60.2,7,true
FAST,95.2,SIFT,69.6,7,true
BRISK,276.2,BRISK,157,21.9422,true
BRISK,276.2,BRIEF,170.4,21.9422,true
BRISK,276.2,ORB,151.4,21.9422,true
BRISK,276.2,FREAK,152.4,21.9422,true
BRISK,276.2,SIFT,164.6,21.9422,true
ORB,116.1,BRISK,75.1,56.0578,true
ORB,116.1,BRIEF,54.5,56.0578,true
ORB,116.1,ORB,76.3,56.0578,true
ORB,116.1,FREAK,42,56.0578,true
ORB,116.1,SIFT,76.3,56.0578,true
AKAZE,167,BRISK,121.5,7.69341,true
AKAZE,167,BRIEF,126.6,7.69341,true
AKAZE,167,ORB,118.2,7.69341,true
AKAZE,167,FREAK,118.7,7.69341,true
AKAZE,167,AKAZE,125.9,7.69341,true
AKAZE,167,SIFT,127,7.69341,true
